timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
367390,9.9681,-0.9604,-1.3221,30.3,68.1,2
367401,10.1956,-1.9951,-2.2058,30.3,68.1,2
367412,10.119,-1.8274,-2.1268,30.3,68.1,2
367423,10.0088,-1.5256,-1.9016,30.3,68.1,2
367434,9.5465,-0.9365,-1.6166,30.3,68.1,2
367445,9.8651,-0.115,-1.0011,30.3,68.1,2
367456,8.8113,0.0742,-1.6765,30.3,68.1,2
367467,8.8496,0.7305,-2.1771,30.3,68.1,2
367478,8.8688,1.0969,-1.8945,30.3,68.1,2
367489,8.9933,1.7172,-1.7675,30.3,68.1,2
367500,8.8424,2.0885,-1.7029,30.3,68.1,2
367511,9.2208,2.1962,-2.0837,30.3,68.1,2
367522,9.1466,2.2082,-2.3567,30.3,68.1,2
367533,9.3118,1.9448,-2.7207,30.3,68.1,2
367544,8.8209,1.9472,-1.7029,30.3,68.1,2
367555,8.9358,2.2226,-1.8633,30.3,68.1,2
367566,9.2879,2.3256,-2.2178,30.3,68.1,2
367577,9.1418,2.1675,-2.716,30.3,68.1,2
367588,9.4843,1.8322,-2.9435,30.3,68.1,2
367599,9.6759,1.4993,-3.0489,30.3,68.1,2
367610,9.5082,1.0562,-2.8812,30.3,68.1,2
367621,9.6112,0.6419,-3.1063,30.3,68.1,2
367632,9.9489,0.1461,-3.1351,30.3,68.1,2
367643,9.81,-0.4838,-3.3506,30.3,68.1,2
367654,9.9944,-0.8478,-3.377,30.3,68.1,2
367665,10.368,-1.2981,-2.9938,30.3,68.1,2
367676,10.756,-1.6669,-2.4525,30.3,68.1,2
367687,9.8459,-0.4119,-3.274,30.3,68.1,2
367698,9.8507,-0.879,-3.4416,30.3,68.1,2
367709,9.9872,-1.3652,-3.0393,30.3,68.1,2
367720,10.2243,-1.6837,-2.5723,30.3,68.1,2
367731,10.8063,-1.9352,-2.2896,30.3,68.1,2
367742,10.4303,-2.0693,-2.1364,30.3,68.1,2
367753,10.0327,-1.9687,-2.1747,30.3,68.1,2
367764,10.1261,-1.8346,-1.7915,30.3,68.1,2
367775,10.2483,-1.3867,-1.2119,30.3,68.1,2
367786,9.5226,-0.7999,-1.2861,30.3,68.1,2
367797,9.3238,-0.0862,-1.2813,30.3,68.1,2
367808,9.1729,0.4766,-1.2502,30.3,68.1,2
367819,8.7131,1.0394,-1.4514,30.3,68.1,2
367830,9.8244,-0.7496,-0.8023,30.3,68.1,2
367841,9.1059,-0.206,-1.3819,30.3,68.1,2
