timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
80231,9.8579,-0.1341,-2.6178,29.8,69.0,1
80242,9.7358,-0.3257,-2.6776,29.8,69.0,1
80253,9.707,-0.2587,-2.4908,29.8,69.0,1
80264,9.5729,-0.3688,-2.5986,29.8,69.0,1
80275,9.6088,-0.309,-2.3471,29.8,69.0,1
80286,9.6376,-0.2898,-2.3878,29.8,69.0,1
80297,9.7549,-0.2539,-2.2513,29.8,69.0,1
80308,9.5921,-0.4311,-2.5746,29.8,69.0,1
80319,9.5561,-0.3904,-2.3351,29.8,69.0,1
80330,9.5729,-0.3257,-2.4477,29.8,69.0,1
80341,9.7022,-0.2132,-2.2202,29.8,69.0,1
80352,9.6663,0.0144,-2.0837,29.8,69.0,1
80363,9.6447,0.1509,-2.1627,29.8,69.0,1
80374,9.6447,0.1581,-2.2322,29.8,69.0,1
80385,9.6064,0.4383,-1.94,29.8,69.0,1
80396,9.4316,0.6083,-1.8729,29.8,69.0,1
80407,9.41,0.4646,-1.9831,29.8,69.0,1
80418,9.3885,0.6586,-2.2801,29.8,69.0,1
80429,9.616,0.5365,-2.1699,29.8,69.0,1
80440,9.5633,0.479,-2.5387,29.8,69.0,1
80451,9.4484,0.6059,-2.1627,29.8,69.0,1
80462,9.5968,0.57,-2.1603,29.8,69.0,1
80473,9.513,0.4718,-2.3759,29.8,69.0,1
80484,9.5274,0.4095,-2.4525,29.8,69.0,1
80495,9.786,0.3233,-2.3184,29.8,69.0,1
80506,9.8172,0.1509,-2.6465,29.8,69.0,1
80517,9.8292,0.1174,-2.5172,29.8,69.0,1
80528,9.7094,-0.012,-2.7519,29.8,69.0,1
80539,9.8363,-0.2563,-2.7447,29.8,69.0,1
80550,9.7022,-0.4335,-2.6657,29.8,69.0,1
80561,9.7453,-0.3114,-2.3854,29.8,69.0,1
80572,9.525,-0.4239,-2.6393,29.8,69.0,1
80583,9.5537,-0.4407,-2.3591,29.8,69.0,1
80594,9.695,-0.3401,-2.5746,29.8,69.0,1
80605,9.6807,-0.3736,-2.5555,29.8,69.0,1
80616,9.5705,-0.5389,-2.3711,29.8,69.0,1
80627,9.5034,-0.4191,-2.4309,29.8,69.0,1
80638,9.5633,-0.2587,-2.2992,29.8,69.0,1
80649,9.525,-0.0695,-2.0693,29.8,69.0,1
80660,9.5585,0.1413,-2.043,29.8,69.0,1
80671,9.6352,0.2778,-1.8705,29.8,69.0,1
80682,9.5657,0.3664,-2.1603,29.8,69.0,1
80693,9.5561,0.5365,-2.0046,29.8,69.0,1
80704,9.5944,0.5772,-1.9591,29.8,69.0,1
80715,9.4867,0.5724,-1.9998,29.8,69.0,1
80726,9.4723,0.6083,-2.2801,29.8,69.0,1
80737,9.4507,0.6514,-2.1076,29.8,69.0,1
80748,9.501,0.5509,-1.9903,29.8,69.0,1
80759,9.5394,0.6107,-2.0406,29.9,69.0,1
80776,9.5322,0.6227,-2.0046,29.9,69.0,1
80787,9.5921,0.5197,-2.1148,29.9,69.0,1
80798,9.4986,0.5916,-2.3998,29.9,69.0,1
80809,9.6998,0.3257,-2.5291,29.9,69.0,1
80820,9.8579,0.2874,-2.7447,29.9,69.0,1
80831,9.9848,0.0431,-2.6345,29.9,69.0,1
80842,9.9729,-0.1964,-2.8836,29.9,69.0,1
80853,9.9082,-0.364,-2.9219,29.9,69.0,1
80864,9.8531,-0.364,-2.7136,29.9,69.0,1
80875,9.8483,-0.3952,-2.5196,29.9,69.0,1
80886,9.9896,-0.3042,-2.7902,29.9,69.0,1
80897,9.8723,-0.3401,-2.7615,29.9,69.0,1
80908,9.7477,-0.4287,-2.7183,29.9,69.0,1
80919,9.6902,-0.5604,-2.6417,29.9,69.0,1
80930,9.6256,-0.6706,-2.3375,29.9,69.0,1
80941,9.4699,-0.4934,-2.3471,29.9,69.0,1
80952,9.4268,-0.4263,-2.1675,29.9,69.0,1
80963,9.2951,-0.0814,-2.0717,29.9,69.0,1
80974,9.4244,0.0407,-1.8657,29.9,69.0,1
80985,9.4891,0.2611,-1.8537,29.9,69.0,1
80996,9.5106,0.3928,-2.0669,29.9,69.0,1
81007,9.5513,0.7089,-1.9208,29.9,69.0,1
81018,9.4603,0.6059,-2.0022,29.9,69.0,1
81029,9.4148,0.1988,-1.9951,29.9,69.0,1
81040,9.4771,0.5485,-1.722,29.9,69.0,1
81051,9.4148,0.7161,-1.9208,29.9,69.0,1
81062,9.5274,0.6467,-1.9759,29.9,69.0,1
81073,9.4484,0.8047,-2.1819,29.9,69.0,1
81084,9.6304,0.673,-2.1076,29.9,69.0,1
81095,9.5968,0.5317,-2.4214,29.9,69.0,1
81106,9.6423,0.4191,-2.5459,29.9,69.0,1
81117,9.8172,0.2682,-2.6178,29.9,69.0,1
81128,10.0112,0.0623,-2.8333,29.9,69.0,1
81139,9.9777,-0.0742,-2.7231,29.9,69.0,1
81150,9.9705,-0.2754,-2.8764,29.9,69.0,1
81161,9.9753,-0.5173,-2.9387,29.9,69.0,1
81172,9.9417,0.0216,-2.7639,29.9,69.0,1
81183,9.8819,-0.1844,-2.8309,29.9,69.0,1
81194,9.9274,-0.4551,-2.7279,29.9,69.0,1
81205,9.8603,-0.4958,-2.7686,29.9,69.0,1
81216,9.834,-0.503,-2.6202,29.9,69.0,1
81227,9.604,-0.5077,-2.5675,29.9,69.0,1
81238,9.5082,-0.594,-2.3016,29.9,69.0,1
81249,9.4364,-0.376,-2.2226,29.9,69.0,1
81260,9.4005,-0.3377,-2.1411,29.9,69.0,1
81271,9.2999,-0.0455,-2.0765,29.9,69.0,1
81282,9.3502,0.1629,-1.9112,29.9,69.0,1
81293,9.4986,0.2874,-1.8969,29.9,69.0,1
81304,9.4627,0.5125,-1.9256,29.9,69.0,1
81315,9.2831,0.0024,-1.9232,29.9,69.0,1
81326,9.4244,0.0982,-1.7867,29.9,69.0,1
81337,9.3933,0.3976,-2.007,29.9,69.0,1
81348,9.513,0.6658,-1.7651,29.9,69.0,1
81359,9.4675,0.7664,-1.9472,29.9,69.0,1
81370,9.5226,0.7137,-2.0477,29.9,69.0,1
81381,9.5609,0.8071,-2.1795,29.9,69.0,1
81392,9.707,0.7065,-2.2561,29.9,69.0,1
81403,9.6902,0.5796,-2.4262,29.9,69.0,1
81414,9.6926,0.4048,-2.5411,29.9,69.0,1
81425,9.7286,0.2108,-2.6752,29.9,69.0,1
81436,9.8747,0.0862,-2.7088,29.9,69.0,1
81447,9.9202,-0.0455,-2.6369,29.9,69.0,1
81458,9.7022,0.3712,-2.5004,29.9,69.0,1
81469,9.8555,0.206,-2.7303,29.9,69.0,1
81480,9.8962,0.1054,-2.577,29.9,69.0,1
81491,9.9178,-0.2108,-2.8884,29.9,69.0,1
81502,9.9729,-0.3593,-2.8381,29.9,69.0,1
81513,9.8771,-0.4072,-2.7112,29.9,69.0,1
81524,9.8316,-0.4095,-2.6465,29.9,69.0,1
81535,9.7525,-0.661,-2.6657,29.9,69.0,1
81546,9.5657,-0.558,-2.5267,29.9,69.0,1
81557,9.5226,-0.364,-2.1603,29.9,69.0,1
81568,9.2951,-0.3545,-2.2322,29.9,69.0,1
81579,9.24,-0.1509,-2.0382,29.9,69.0,1
81590,9.2184,0.0527,-2.0669,29.9,69.0,1
81601,9.4005,-0.3832,-2.316,29.9,69.0,1
81612,9.319,-0.3018,-2.134,29.9,69.0,1
81623,9.2783,-0.0168,-2.0861,29.9,69.0,1
81634,9.422,0.0695,-1.9735,29.9,69.0,1
81645,9.331,0.2706,-1.9519,29.9,69.0,1
81656,9.4963,0.4598,-1.849,29.9,69.0,1
81667,9.5968,0.5173,-2.0286,29.9,69.0,1
81678,9.6519,0.6395,-2.134,29.9,69.0,1
81689,9.6783,0.7975,-2.1483,29.9,69.0,1
81700,9.7358,0.594,-2.4214,29.9,69.0,1
81711,9.6998,0.6203,-2.2537,29.9,69.0,1
81722,9.7884,0.4503,-2.3663,29.9,69.0,1
81733,9.6974,0.2563,-2.7183,29.9,69.0,1
81744,9.7741,0.6323,-2.2585,29.9,69.0,1
81755,9.7094,0.582,-2.5339,29.9,69.0,1
81766,9.7669,0.4598,-2.5291,29.9,69.0,1
81777,9.8028,0.182,-2.7112,29.9,69.0,1
81788,9.7693,0.0407,-2.5962,29.9,69.0,1
81799,9.8986,-0.1629,-2.7495,29.9,69.0,1
81810,9.9154,-0.3497,-2.7926,29.9,69.0,1
81821,9.7813,-0.4048,-2.5651,29.9,69.0,1
81832,9.9082,-0.5077,-2.5699,29.9,69.0,1
81843,9.7286,-0.6227,-2.6178,29.9,69.0,1
81854,9.525,-0.479,-2.4214,29.9,69.0,1
81865,9.4507,-0.3257,-2.1268,29.9,69.0,1
81876,9.2999,-0.3257,-2.0885,29.9,69.0,1
81887,9.6663,-0.5892,-2.5483,29.9,69.0,1
81898,9.5178,-0.4287,-2.1411,29.9,69.0,1
81909,9.4005,-0.3712,-2.1914,29.9,69.0,1
81920,9.1729,-0.2371,-2.1459,29.9,69.0,1
81931,9.2424,0.0,-1.9112,29.9,69.0,1
81942,9.4076,0.0647,-1.9256,29.9,69.0,1
81953,9.3597,0.364,-1.9855,29.9,69.0,1
81964,9.5106,0.57,-1.8442,29.9,69.0,1
81975,9.5657,0.5988,-2.1459,29.9,69.0,1
81986,9.6639,0.7233,-2.1172,29.9,69.0,1
81997,9.7214,0.8502,-2.0741,29.9,69.0,1
82008,9.6711,0.6778,-2.486,29.9,69.0,1
82019,9.6926,0.6035,-2.3208,29.9,69.0,1
82030,9.798,0.5365,-2.3998,29.9,69.0,1
82041,9.6591,0.7784,-2.3327,29.9,69.0,1
82052,9.8555,0.7472,-2.1196,29.9,69.0,1
82063,9.6471,0.6251,-2.4094,29.9,69.0,1
82074,9.7908,0.5341,-2.5794,29.9,69.0,1
82085,9.8004,0.2371,-2.7327,29.9,69.0,1
82096,9.8028,0.0766,-2.6369,29.9,69.0,1
82107,9.9154,-0.0455,-2.7615,29.9,69.0,1
82118,9.9417,-0.2826,-2.7303,29.9,69.0,1
82129,9.8555,-0.3569,-2.7662,29.9,69.0,1
82140,9.8723,-0.4958,-2.6489,29.9,69.0,1
82151,9.7621,-0.5748,-2.6728,29.9,69.0,1
