timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
264942,9.6256,0.1341,-2.3256,30.3,67.6,0
264953,9.6088,0.1293,-2.3112,30.3,67.6,0
264964,9.6447,0.1293,-2.3375,30.3,67.6,0
264975,9.6543,0.1174,-2.3974,30.3,67.6,0
264986,9.6471,0.1389,-2.3687,30.3,67.6,0
264997,9.604,0.1485,-2.3567,30.3,67.6,0
265008,9.5992,0.1198,-2.3974,30.3,67.6,0
265019,9.64,0.1293,-2.407,30.3,67.6,0
265030,9.6376,0.1413,-2.328,30.3,67.6,0
265041,9.6088,0.1485,-2.4238,30.3,67.6,0
265052,9.5992,0.1437,-2.3447,30.3,67.6,0
265063,9.6783,0.1629,-2.3567,30.3,67.6,0
265074,9.6136,0.1102,-2.3639,30.3,67.6,0
265085,9.6184,0.1677,-2.3471,30.3,67.6,0
265096,9.6184,0.1677,-2.316,30.3,67.6,0
265107,9.5968,0.1198,-2.3208,30.3,67.6,0
265118,9.6447,0.1413,-2.3639,30.3,67.7,0
265140,9.6447,0.1437,-2.2992,30.3,67.7,0
265151,9.6088,0.1557,-2.3232,30.3,67.7,0
265162,9.6208,0.1557,-2.4118,30.3,67.7,0
265173,9.5992,0.1245,-2.3375,30.3,67.7,0
265184,9.6136,0.1461,-2.3471,30.3,67.7,0
265195,9.616,0.1174,-2.3998,30.3,67.7,0
265206,9.6352,0.1365,-2.292,30.3,67.7,0
265217,9.6495,0.1365,-2.3974,30.3,67.7,0
265228,9.6256,0.1221,-2.3327,30.3,67.7,0
265239,9.6256,0.1126,-2.2992,30.3,67.7,0
265250,9.6639,0.1198,-2.2729,30.3,67.7,0
265261,9.6112,0.1245,-2.3256,30.3,67.7,0
265272,9.6112,0.1413,-2.3232,30.3,67.7,0
265283,9.6184,0.1269,-2.304,30.3,67.7,0
265294,9.5944,0.1653,-2.3519,30.3,67.7,0
265305,9.6615,0.1317,-2.3423,30.3,67.7,0
265316,9.6519,0.1174,-2.4238,30.3,67.7,0
265327,9.616,0.1509,-2.3399,30.3,67.7,0
265338,9.6615,0.1581,-2.3351,30.3,67.7,0
265349,9.6184,0.1293,-2.3375,30.3,67.7,0
265360,9.6136,0.1557,-2.3759,30.3,67.7,0
265371,9.6639,0.1557,-2.3375,30.3,67.7,0
265382,9.616,0.1461,-2.3423,30.3,67.7,0
265393,9.5921,0.1748,-2.3519,30.3,67.7,0
265404,9.6304,0.1605,-2.3687,30.3,67.7,0
265415,9.5849,0.1461,-2.3184,30.3,67.7,0
265426,9.616,0.1078,-2.2801,30.3,67.7,0
265437,9.6328,0.1317,-2.3974,30.3,67.7,0
265448,9.6519,0.115,-2.3447,30.3,67.7,0
265459,9.6256,0.115,-2.3399,30.3,67.7,0
265470,9.6423,0.1509,-2.3615,30.3,67.7,0
265481,9.616,0.1581,-2.3423,30.3,67.7,0
265492,9.6447,0.182,-2.3256,30.3,67.7,0
265503,9.6232,0.1365,-2.4142,30.3,67.7,0
265514,9.616,0.1748,-2.3423,30.3,67.7,0
265525,9.64,0.1533,-2.3567,30.3,67.7,0
265536,9.6136,0.1317,-2.3375,30.3,67.7,0
265547,9.5992,0.1653,-2.3423,30.3,67.7,0
265558,9.6112,0.1605,-2.3759,30.3,67.7,0
265569,9.6447,0.1245,-2.3735,30.3,67.7,0
265580,9.6112,0.1629,-2.3735,30.3,67.7,0
265591,9.6376,0.0934,-2.407,30.3,67.7,0
265602,9.5992,0.1269,-2.3519,30.3,67.7,0
265613,9.6064,0.1677,-2.3375,30.3,67.7,0
265624,9.6136,0.115,-2.3615,30.3,67.7,0
265635,9.6543,0.1245,-2.3591,30.3,67.7,0
265646,9.5944,0.1653,-2.3591,30.3,67.7,0
265657,9.6208,0.1269,-2.3471,30.3,67.7,0
265668,9.6016,0.1485,-2.3591,30.3,67.7,0
265679,9.6184,0.115,-2.3399,30.3,67.7,0
265690,9.6112,0.1605,-2.3304,30.3,67.7,0
265701,9.6184,0.1533,-2.3519,30.3,67.7,0
265712,9.6064,0.1868,-2.3471,30.3,67.7,0
265723,9.6232,0.1317,-2.3208,30.3,67.7,0
265734,9.6567,0.1677,-2.3711,30.3,67.7,0
265745,9.604,0.1293,-2.3543,30.3,67.7,0
265756,9.6519,0.1461,-2.3232,30.3,67.7,0
265767,9.6184,0.1677,-2.3711,30.3,67.7,0
265778,9.6423,0.1389,-2.3471,30.3,67.7,0
265789,9.6471,0.1341,-2.3519,30.3,67.7,0
265800,9.6232,0.1317,-2.3735,30.3,67.7,0
265811,9.6591,0.1581,-2.4118,30.3,67.7,0
265822,9.6232,0.1844,-2.3375,30.3,67.7,0
265833,9.6136,0.1293,-2.3136,30.3,67.7,0
265844,9.6471,0.1317,-2.3471,30.3,67.7,0
265855,9.6016,0.1485,-2.3591,30.3,67.7,0
265866,9.6519,0.1389,-2.3735,30.3,67.7,0
265877,9.6136,0.1796,-2.3184,30.3,67.7,0
265888,9.6328,0.17,-2.328,30.3,67.7,0
265899,9.6304,0.1054,-2.3208,30.3,67.7,0
265910,9.6328,0.1174,-2.3088,30.3,67.7,0
265921,9.6304,0.1293,-2.3208,30.3,67.7,0
265932,9.6471,0.1269,-2.3064,30.3,67.7,0
265943,9.6016,0.1341,-2.3351,30.3,67.7,0
265954,9.6304,0.1629,-2.316,30.3,67.7,0
265965,9.6208,0.1724,-2.3184,30.3,67.7,0
265976,9.6136,0.1221,-2.3519,30.3,67.7,0
265987,9.6256,0.1724,-2.3088,30.3,67.7,0
265998,9.5705,0.1437,-2.3711,30.3,67.7,0
266009,9.6711,0.1724,-2.3304,30.3,67.7,0
266020,9.6184,0.0934,-2.3806,30.3,67.7,0
266031,9.5849,0.1102,-2.316,30.3,67.7,0
266042,9.6184,0.1629,-2.3759,30.3,67.7,0
266053,9.6208,0.1653,-2.3399,30.3,67.7,0
266064,9.6543,0.1581,-2.3806,30.3,67.7,0
266075,9.5944,0.1509,-2.383,30.3,67.7,0
266086,9.616,0.1677,-2.3519,30.3,67.7,0
266097,9.5897,0.1485,-2.3088,30.3,67.7,0
266108,9.5968,0.1054,-2.3519,30.3,67.7,0
266119,9.6352,0.1365,-2.3399,30.3,67.7,0
266130,9.6328,0.1198,-2.3256,30.3,67.7,0
266141,9.6112,0.1174,-2.3375,30.3,67.7,0
266152,9.6328,0.1581,-2.3735,30.3,67.7,0
266163,9.5873,0.1341,-2.2681,30.3,67.7,0
266174,9.6184,0.1413,-2.3399,30.3,67.7,0
266185,9.6376,0.1317,-2.3567,30.3,67.7,0
266196,9.6447,0.1629,-2.3567,30.3,67.7,0
266207,9.6352,0.1293,-2.3136,30.3,67.7,0
266218,9.6136,0.1605,-2.3519,30.3,67.7,0
266229,9.5992,0.1317,-2.3471,30.3,67.7,0
266240,9.5873,0.1341,-2.3878,30.3,67.7,0
