mean_x,var_x,mean_y,var_y,mean_z,var_z,temperature,humidity,label
9.63134375,0.0003309031854838806,0.116690625,0.0005453847479838711,-2.3387312500000004,0.0006109802822580642,30.0,68.2,0
9.62730625,0.00040928705645160927,0.0942375,0.0006418598387096775,-2.3494375,0.0006329798387096762,29.8,68.5,0
9.63336875,0.00038507899193548575,0.086446875,0.0005044980544354838,-2.348021875,0.0008305340221774194,29.9,68.6,0
9.66525,0.6434034987096776,-0.1400375,1.7985642753225806,-2.297340625,1.3616043495866934,30.3,68.1,2
9.62895,0.00040837161290322707,0.11668125,0.0003383512500000001,-2.345396875,0.0008768816028225842,30.0,68.5375,0
9.625884375,0.000621721360887096,0.08606875,0.0005364867338709678,-2.342328125,0.0010220956350806482,29.9,68.6,0
9.662034375000001,0.9342551339415321,0.08458437500000002,1.4408436923286287,-2.227965625,1.6421494126512095,30.4,68.0,2
9.869418750000001,2.0437412647983866,0.32714999999999994,1.210690753548387,-2.5184406249999998,1.383221297328629,30.3,68.08749999999999,2
9.62041875,0.0005210093145161293,0.14003749999999998,0.0004716217741935484,-2.340909375,0.0006210028125000014,30.2,67.8,0
9.60926875,2.2230235299596774,0.183675,1.6077574225806452,-2.25895,0.972944464516129,30.3,68.0,2
9.630221875,0.0050234869254032356,0.06862812500000001,0.03098733369959678,-2.3179375,0.019712738548387086,30.0,68.5,1
9.624756249999999,0.00040452770161290505,0.084425,0.0003665987096774192,-2.35123125,0.0009482254435483887,29.9,68.5,0
9.722734375000002,0.2284824152318547,0.7655875,1.3196831011290322,-2.2309625,0.3560111785483871,30.3,68.0,2
9.633212499999999,0.0004451288709677506,0.12027812500000001,0.0005917643447580646,-2.3375500000000002,0.000690909677419353,30.0,68.6,0
9.62843125,0.0004079660887096781,0.089978125,0.0005579404737903227,-2.333125,0.001146666451612905,29.9,68.58749999999999,0
9.634721875,0.0002053772479838717,0.08435,0.00043707870967741935,-2.34741875,0.0005529822177419341,29.9,68.5,0
9.621315625,0.00036682007056450987,0.14040625,0.0004923244758064516,-2.34135625,0.000771250927419355,30.3,67.6,0
9.62783125,0.004028580282258055,0.100671875,0.0018557298286290323,-2.349209375,0.0012900505544354848,29.8,68.5,0
9.629853125,0.0005718238608870954,0.08480312500000001,0.0003181177318548387,-2.34525,0.0005312838709677415,29.9,68.5,0
9.627375,0.05467204903225798,0.160990625,0.28093463829637094,-2.296528125,0.11598076273185481,29.9,68.9,1
9.620196875,0.00039101321572580544,0.141978125,0.0002986288608870967,-2.34756875,0.0011633628629032253,30.2,67.8,0
9.627234375,0.0002579003931451659,0.118175,0.0005794735483870969,-2.3355125,0.0009891720967741915,30.0,68.7,0
9.472303125,1.3472029474092742,0.11346562500000001,1.5214008365221774,-2.412084375,0.838403514264113,30.3,68.0,2
9.69720625,0.16347706834677417,0.355815625,0.7259605123286291,-2.3992875,1.2936069314516128,30.4,68.0,2
9.79981875,0.16554967383064517,0.27654687499999997,0.582567608377016,-2.405203125,0.5386468377318547,30.4,68.1,2
9.625731250000001,0.4904328209274193,0.12356562499999998,2.2735403371673386,-2.340540625,0.3981982457157258,30.3,68.1,2
9.994265625,0.3737810345866934,0.299234375,0.1735129513608871,-3.8219374999999998,1.1123579772580645,29.9,69.1,1
9.326274999999999,0.14409016580645162,-0.232384375,0.3023485084576613,-2.6857187500000004,0.6890279596370968,30.4,68.0375,2
9.816065625,1.9080069978125,0.129109375,0.4407442537802419,-1.94266875,3.90909340157258,30.3,68.1,2
9.767934375,0.16222932426411282,0.92275,0.7179578948387096,-2.4307937500000003,0.4724710806048387,30.3,68.00625,2
9.667790624999999,0.1399347279737903,-0.89004375,0.8275323238306452,-2.71505,0.34490030322580645,30.4,68.0,2
9.661659375,1.2068171670060481,-0.17580625000000003,0.490986050282258,-3.1267843749999997,3.265796464586694,29.9,69.6,1
9.630971875,0.003748109183467738,0.069378125,0.015906621764112904,-2.3594625000000002,0.004116686935483873,30.0,68.5,1
9.926375,0.8103810541935482,0.47788437500000003,0.2294814897479839,-2.255659375,3.1255194070060486,29.9,69.1,1
9.417896875,0.1898354719254032,0.15612187500000002,0.11278931660282257,-1.863178125,1.789860139828629,29.9,68.8,1
9.632084375,0.0003531116834677483,0.09004062499999999,0.0006196476512096774,-2.341796875,0.0005146745060483869,29.9,68.7,0
9.634334375,0.0004181778125000055,0.102603125,0.0005816319254032258,-2.3346875000000002,0.0012081946774193547,29.8,68.5,0
9.484493749999999,0.5408570631854839,0.015040624999999998,1.3095418353931452,-2.540215625,0.9228360549092742,30.2,68.5,2
9.550440624999998,0.6053621850705648,-0.14221250000000002,2.1880707391935483,-2.20281875,0.891615975766129,30.3,68.1,2
9.356143750000001,1.3107419812499999,0.557509375,1.022575958296371,-2.228040625,1.268808557328629,30.4,68.0,2
9.621690625,0.0055259899092741874,0.0978875,0.001311806935483871,-2.3519125,0.0021057056451612905,29.8,68.5,0
9.582762500000001,0.9539462598387097,-0.214728125,0.1125554317641129,-2.84873125,1.4630972731854839,29.9,69.2,1
9.490178125,0.4076274495060485,0.020584375000000016,1.6166131981350804,-2.50136875,1.079658675766129,30.2,68.5,2
9.628868749999999,0.004565762862903227,0.038325,0.0057523916129032255,-2.33251875,0.003890355766129034,30.0,68.5,1
